day,node_id,node_name,population,susceptible,latent,infectious_a,infectious_t,infectious_nt,recovered,foi,exit_rate
0,n0,Akaa,16500,16499,0,0,1,0,0,1.136e-05,0.760731
0,n1,Alaj�rvi,9900,9900,0,0,0,0,0,0.0,0.356164
0,n2,Alavieska,2600,2600,0,0,0,0,0,0.0,0.117808
0,n3,Alavus,11800,11800,0,0,0,0,0,0.0,0.374429
0,n4,Asikkala,8100,8100,0,0,0,0,0,0.0,0.347945
0,n5,Askola,5000,5000,0,0,0,0,0,0.0,0.253881
0,n6,Aura,4000,4000,0,0,0,0,0,0.0,0.199087
0,n7,Brändö,500,500,0,0,0,0,0,0.0,32.666667
0,n8,Br�nd�,500,500,0,0,0,0,0,0.0,0.022831
0,n9,Eckerö,950,950,0,0,0,0,0,0.0,161.333333
0,n10,Ecker�,950,950,0,0,0,0,0,0.0,0.048402
0,n11,Enonkoski,1400,1400,0,0,0,0,0,0.0,0.072146
0,n12,Enonteki�,1900,1900,0,0,0,0,0,4.2e-07,0.113242
0,n13,Espoo,297132,297131,1,0,0,0,0,4e-08,16.53242
0,n14,Eura,9200,9200,0,0,0,0,0,2.2e-07,0.413699
0,n15,Eurajoki,6000,6000,0,0,0,0,0,6e-08,0.368037
0,n16,Evij�rvi,2500,2500,0,0,0,0,0,4e-07,0.110502
0,n17,Finström,2600,2600,0,0,0,0,0,0.0,558.666667
0,n18,Finstr�m,2600,2600,0,0,0,0,0,0.0,0.1379
0,n19,Forssa,16900,16900,0,0,0,0,0,1.1e-07,0.799087
0,n20,Föglö,550,550,0,0,0,0,0,0.0,42.666667
0,n21,F�gl�,550,550,0,0,0,0,0,0.0,0.011872
0,n22,Geta,500,500,0,0,0,0,0,0.0,90.010046
0,n23,Haapaj�rvi,7100,7100,0,0,0,0,0,0.0,0.273973
0,n24,Haapavesi,6800,6800,0,0,0,0,0,0.0,0.317808
0,n25,Hailuoto,1000,1000,0,0,0,0,0,0.0,0.042009
0,n26,Halsua,1200,1200,0,0,0,0,0,0.0,0.047489
0,n27,Hamina,19800,19800,0,0,0,0,0,0.0,0.743379
0,n28,Hammarland,1500,1500,0,0,0,0,0,0.0,368.028311
0,n29,Hankasalmi,5000,5000,0,0,0,0,0,0.0,0.224658
0,n30,Hanko,8300,8300,0,0,0,0,0,0.0,0.310502
0,n31,Harjavalta,7100,7100,0,0,0,0,0,0.0,0.352511
0,n32,Hartola,3000,3000,0,0,0,0,0,0.0,0.124201
0,n33,Hattula,9700,9700,0,0,0,0,0,8e-08,0.452055
0,n34,Hausj�rvi,8600,8600,0,0,0,0,0,5e-08,0.442922
0,n35,Heinola,17900,17900,0,0,0,0,0,0.0,0.783562
0,n36,Hein�vesi,3400,3400,0,0,0,0,0,0.0,0.165297
0,n37,Helsinki,658864,658864,0,0,0,0,0,3e-08,30.807306
0,n38,Hirvensalmi,2200,2200,0,0,0,0,0,0.0,0.134247
0,n39,Hollola,22800,22800,0,0,0,0,0,4e-08,1.153425
0,n40,Huittinen,10500,10500,0,0,0,0,0,1.1e-07,0.350685
0,n41,Humppila,2400,2400,0,0,0,0,0,4e-07,0.096804
0,n42,Hyrynsalmi,2400,2400,0,0,0,0,0,0.0,0.083105
0,n43,Hyvink��,46800,46800,0,0,0,0,0,8e-08,2.297717
0,n44,H�meenkyr�,10400,10400,0,0,0,0,0,1.3e-07,0.405479
0,n45,H�meenlinna,67800,67800,0,0,0,0,0,3.5e-07,3.063927
0,n46,Ii,10200,10200,0,0,0,0,0,0.0,0.463014
0,n47,Iisalmi,21600,21600,0,0,0,0,0,0.0,0.884932
0,n48,Iitti,6800,6800,0,0,0,0,0,0.0,0.249315
0,n49,Ikaalinen,7100,7100,0,0,0,0,0,0.0,0.289498
0,n50,Ilmajoki,12500,12500,0,0,0,0,0,0.0,0.554338
0,n51,Ilomantsi,5100,5100,0,0,0,0,0,0.0,0.156164
0,n52,Imatra,25800,25800,0,0,0,0,0,0.0,0.964384
0,n53,Inari,6800,6800,0,0,0,0,0,1.6e-07,0.393607
0,n54,Ing�,5400,5400,0,0,0,0,0,0.0,0.256621
0,n55,Isojoki,2200,2200,0,0,0,0,0,0.0,0.050228
0,n56,Isokyr�,4700,4700,0,0,0,0,0,0.0,0.181735
0,n57,Jakobstad,19300,19300,0,0,0,0,0,0.0,0.769863
0,n58,Janakkala,17100,17100,0,0,0,0,0,1.2e-07,0.727854
0,n59,Joensuu,77476,77476,0,0,0,0,0,6e-08,4.122374
0,n60,Jokioinen,5700,5700,0,0,0,0,0,0.0,0.269406
0,n61,Jomala,5100,5100,0,0,0,0,0,0.0,1342.06758
0,n62,Joroinen,5200,5200,0,0,0,0,0,0.0,0.193607
0,n63,Joutsa,4600,4600,0,0,0,0,0,0.0,0.181735
0,n64,Juuka,4500,4500,0,0,0,0,0,0.0,0.180822
0,n65,Juupajoki,2100,2100,0,0,0,0,0,0.0,0.109589
0,n66,Juva,6400,6400,0,0,0,0,0,8e-08,0.194521
0,n67,Jyv�skyl�,143420,143420,0,0,0,0,0,6e-08,7.105023
