region,lat,lng,weight
Lapland,66.5031,25.7269,1
North Ostrobothnia,65.0124,25.4682,1
Kainuu,64.2251,27.7315,1
North Karelia,62.6,29.76,1
North Savo,62.8924,27.677,1
South Savo,61.691,27.2723,1
South Karelia,61.0587,28.1887,1
Central Finland,62.2415,25.7209,1
South Ostrobothnia,62.7945,22.8282,1
Ostrobothnia,63.096,21.6158,1
Central Ostrobothnia,63.8459,23.1422,1
Pirkanmaa,61.4991,23.7871,1
Satakunta,61.4807,21.7852,1
Päijät-Häme,60.9827,25.6615,1
Kanta-Häme,60.9959,24.4643,1
Kymenlaakso,60.4723,26.9396,1
Uusimaa,60.1695,24.9355,1
Southwest Finland,60.4515,22.2687,1
Åland,60.097,19.934,1
